ozone	radiation	temperature	wind
41	190	67	7.4
36	118	72	8
12	149	74	12.6
18	313	62	11.5
23	299	65	8.6
19	99	59	13.8
8	19	61	20.1
16	256	69	9.7
11	290	66	9.2
14	274	68	10.9
18	65	58	13.2
14	334	64	11.5
34	307	66	12
6	78	57	18.4
30	322	68	11.5
11	44	62	9.7
1	8	59	9.7
11	320	73	16.6
4	25	61	9.7
32	92	61	12
23	13	67	12
45	252	81	14.9
115	223	79	5.7
37	279	76	7.4
29	127	82	9.7
71	291	90	13.8
39	323	87	11.5
23	148	82	8
21	191	77	14.9
37	284	72	20.7
20	37	65	9.2
12	120	73	11.5
13	137	76	10.3
135	269	84	4
49	248	85	9.2
32	236	81	9.2
64	175	83	4.6
40	314	83	10.9
77	276	88	5.1
97	267	92	6.3
97	272	92	5.7
85	175	89	7.4
10	264	73	14.3
27	175	81	14.9
7	48	80	14.3
48	260	81	6.9
35	274	82	10.3
61	285	84	6.3
79	187	87	5.1
63	220	85	11.5
16	7	74	6.9
80	294	86	8.6
108	223	85	8
20	81	82	8.6
52	82	86	12
82	213	88	7.4
50	275	86	7.4
64	253	83	7.4
59	254	81	9.2
39	83	81	6.9
9	24	81	13.8
16	77	82	7.4
122	255	89	4
89	229	90	10.3
110	207	90	8
44	192	86	11.5
28	273	82	11.5
65	157	80	9.7
22	71	77	10.3
59	51	79	6.3
23	115	76	7.4
31	244	78	10.9
44	190	78	10.3
21	259	77	15.5
9	36	72	14.3
45	212	79	9.7
168	238	81	3.4
73	215	86	8
76	203	97	9.7
118	225	94	2.3
84	237	96	6.3
85	188	94	6.3
95.9999999999999	167	91	6.9
78	197	92	5.1
73	183	93	2.8
91	189	93	4.6
47	95	87	7.4
32	92	84	15.5
20	252	80	10.9
23	220	78	10.3
21	230	75	10.9
24	259	73	9.7
44	236	81	14.9
21	259	76	15.5
28	238	77	6.3
9	24	71	10.9
13	112	71	11.5
46	237	78	6.9
18	224	67	13.8
13	27	76	10.3
24	238	68	10.3
16	201	82	8
13	238	64	12.6
23	14	71	9.2
36	139	81	10.3
7	49	69	10.3
14	20	63	16.6
30	193	70	6.9
14	191	75	14.3
18	131	76	8
20	223	68	11.5
